name,title,creator,youtube_url,template_url,date_posted
Podcast Clip Automation,Generate 100s of Viral Podcast TikTok Clips & Reels with This AI System,Nick Saraev,https://www.youtube.com/watch?v=yueOIxkDig0,https://drive.google.com/file/d/1GSHGp8PUI_7ZV8YXoollecxA7JdOLMt0/view?usp=drive_link,2025-07-02T06:46:01.000Z
AI Resume Screening System,Watch Me Build an AI Resume Analysis System in 28 minutes (no code),Nate Herk | AI Automation,https://www.youtube.com/watch?v=M0s6O8xtVUE,https://drive.google.com/file/d/1dFPQN0ydpHBKzSHLg31eKA8Tv0GtmW_R/view?usp=drive_link,2025-06-30T17:00:55.000Z
RAG Agents Workflow,n8n Just Leveled Up RAG Agents (Reranking & Metadata),Nate Herk | AI Automation,https://www.youtube.com/watch?v=xWhX61651H8,https://drive.google.com/file/d/1ee6skeDuBnYYV_9thU9bCnwYgc1sM-Ii/view?usp=drive_link,2025-06-28T14:52:09.000Z
PPC Thievery,can't believe i built a $70k ai creative team in 66mins using only N8N,Nick Saraev,https://www.youtube.com/watch?v=GNmlnt52aSM,https://drive.google.com/file/d/1ka5OJF-1NWZdM0aM0VA8lZ9AJYvh2cnP/view?usp=drive_link,2025-06-28T05:30:09.000Z
Meeting Prep Automation,This n8n Automation Does ALL My Meeting Prep While I Sleep,Mark Kashef,https://www.youtube.com/watch?v=9HBa364RZBk,https://drive.google.com/file/d/1vH6R5eVJJGNTgDB88ZCkfyKqUgrFkY_q/view?usp=drive_link,2025-06-27T18:20:17.000Z
YT Strategist Agent,I Built a YT Strategist AI Agent That Makes Me $6k/mo (free template n8n),Nate Herk | AI Automation,https://www.youtube.com/watch?v=Ch-AWxvX2Jc,https://drive.google.com/file/d/1FnftwssvJBwXu9XNFnKnoKMj296a-w9r/view?usp=drive_link,2025-06-24T13:55:20.000Z
Viral ASMR Shorts,This AI System Posts Viral ASMR Shorts Hourly (free template),Nate Herk | AI Automation,https://www.youtube.com/watch?v=RvuPRX-b7Lc,https://drive.google.com/file/d/1iyeZv71q308XlZXzxIKyNvnAd_CKoO9I/view?usp=drive_link,2025-06-22T13:52:16.000Z
Client Onboarding System,I Built an AI System that Onboards Clients in 30 Seconds (Free n8n Template),Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=gXKzEt1ZG38,https://drive.google.com/file/d/1jGUC5vcD2W0cOhtIfDwLGdMtMw4OuROY/view?usp=drive_link,2025-06-21T17:07:33.000Z
AI Agent Team Builder,I Built an AI Agent that Builds Entire Teams of AI Agents in n8n (free template),Nate Herk | AI Automation,https://www.youtube.com/watch?v=Ik8OHT3w4pE,https://drive.google.com/file/d/1YidfszPBryjmb2nC1Eeig94X187bnYmq/view?usp=drive_link,2025-06-18T13:40:32.000Z
FB Ad Spy Tool,Build A Facebook Ad Spy Tool With N8N (Sell for $2k+),Nick Saraev,https://www.youtube.com/watch?v=0PJNiDuihBg,https://drive.google.com/file/d/1whrqvO_wTk_NFhufCd3oqD0ZiSk9kaWI/view?usp=drive_link,2025-06-18T05:30:00.000Z
AI Video Analysis,The Simplest Setup for FREE AI Video Analysis (n8n + Google Gemini),Nate Herk | AI Automation,https://www.youtube.com/watch?v=acB2o6nwAn8,https://drive.google.com/file/d/1UYTwp5P0zyz-kpZrQ6vlVH36d-zkPZSM/view?usp=drive_link,2025-06-12T15:38:50.000Z
Viral AI Videos,Generate VIRAL AI Videos Using Veo 3 in N8N! (No Code - Free Template),Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=axBR8S7AepQ,https://drive.google.com/file/d/1N6CHyusk8ucayPuJswGlcpp7Rf2xe9dR/view?usp=drive_link,2025-06-12T14:42:57.000Z
Graphic Design AI Agent,Watch Me Build a Graphic Design AI Agent Team That Works 24/7 (n8n),Nick Saraev,https://www.youtube.com/watch?v=DrqR7a7lmBE,https://drive.google.com/file/d/1zVQCaCBccYJWNTAoSsuLUCaeGN8CRYcL/view?usp=drive_link  https://drive.google.com/file/d/1qLal1xQDZPgUKe2ojKqEa8AiI5S5D6M2/view?usp=drive_link  https://drive.google.com/file/d/1Rt6fUSjNZtWYESJSZHkfw5TeRUwOyAIz/view?usp=drive_link  https://drive.google.com/file/d/1fkqt-ec9CIAWGxtwNy31OGueAGEuA6kF/view?usp=drive_link  https://drive.google.com/file/d/16wtHAysAuS7rN76hTm5kSifMedZ0i_Mf/view?usp=drive_link ,2025-06-12T05:30:16.000Z
