,name,title,description,creator,youtube_url,template_url,date_posted
0,Podcast Clip Automation,Generate 100s of Viral Podcast TikTok Clips & Reels with This AI System,"This system automates the conversion of long-form podcast episodes into engaging short-form clips for TikTok, Instagram, and YouTube. It’s built entirely in n8n and integrates multiple tools: an RSS feed for scraping, the Visard API for automated video clipping, OpenAI for generating compelling captions, Google Sheets for data logging, and Gmail for notifications. The workflow processes content detection, highlight extraction, and clip generation autonomously. Created by Nick Saraev, this free template provides a complete, ready-to-run solution for social media content repurposing.",Nick Saraev,https://www.youtube.com/watch?v=yueOIxkDig0,https://drive.google.com/file/d/1GSHGp8PUI_7ZV8YXoollecxA7JdOLMt0/view?usp=drive_link,2025-07-02T06:46:01.000Z
1,AI Resume Screening System,Watch Me Build an AI Resume Analysis System in 28 minutes (no code),"In this tutorial, Nate Herk builds a no-code AI resume analysis system using n8n. The workflow integrates Gmail triggers to capture resumes, uploads and converts files in Google Drive (handling Word docs, PDFs, and text files), extracts content, and leverages an AI agent with OpenAI’s chat model to analyze candidate strengths, weaknesses, risk/reward, and overall fit. The output is structured and then pushed to Google Sheets. A free workflow template is available via his free Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=M0s6O8xtVUE,https://drive.google.com/file/d/1dFPQN0ydpHBKzSHLg31eKA8Tv0GtmW_R/view?usp=drive_link,2025-06-30T17:00:55.000Z
2,RAG Agents Workflow,n8n Just Leveled Up RAG Agents (Reranking & Metadata),"This system demonstrates a no-code AI agent that enhances vector-based document retrieval with a Cohere-powered re-ranker and metadata filtering. It uses a Superbase vector database to store chunked data and dynamically applies metadata filters for targeted queries. The workflow refines results by reranking returned chunks, ensuring accurate extraction of rule-based content. Developed by Nate Herk, the system is available via a free template in his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=xWhX61651H8,https://drive.google.com/file/d/1ee6skeDuBnYYV_9thU9bCnwYgc1sM-Ii/view?usp=drive_link,2025-06-28T14:52:09.000Z
3,PPC Thievery,can't believe i built a $70k ai creative team in 66mins using only N8N,"This system, created by Nick Saraev, is an end-to-end PPC automation workflow that scrapes high-performing ads from the Facebook Ad Library using an API (via Appify) and then processes the assets with AI. It leverages modules for HTTP requests, Google Drive for file storage and organization, Google Sheets for logging, and OpenAI for image analysis and creative prompt generation. The workflow transforms scraped ad components into customized creative assets. Free template available.",Nick Saraev,https://www.youtube.com/watch?v=GNmlnt52aSM,https://drive.google.com/file/d/1ka5OJF-1NWZdM0aM0VA8lZ9AJYvh2cnP/view?usp=drive_link,2025-06-28T05:30:09.000Z
4,Meeting Prep Automation,This n8n Automation Does ALL My Meeting Prep While I Sleep,"Mark Kashef demonstrates an advanced automation workflow that converts Calendly bookings into tailored AI-generated meeting prep audio files. This system captures booking details and uses the Perplexity API for deep research on both the attendee and their company. It then consolidates insights using OpenAI’s o3-mini for reasoning and text-to-speech for audio generation, before sending a personalized email via Gmail. The free template is available via Gumroad for immediate use.",Mark Kashef,https://www.youtube.com/watch?v=9HBa364RZBk,https://drive.google.com/file/d/1vH6R5eVJJGNTgDB88ZCkfyKqUgrFkY_q/view?usp=drive_link,2025-06-27T18:20:17.000Z
5,YT Strategist Agent,I Built a YT Strategist AI Agent That Makes Me $6k/mo (free template n8n),"This system is a fully automated YouTube strategist workflow built in n8n that scrapes and analyzes YouTube channels to extract top-performing videos from niche channels, analyzes titles for power words, evaluates thumbnails using OpenAI, and aggregates viewer comments for insight. It combines scheduled tasks (weekly and daily) with API integrations via Appify and Google Sheets to generate actionable video ideation and packaging. Developed and demonstrated by Nate Herk, this free template offers a complete guided setup for creating a data-driven content strategy.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=Ch-AWxvX2Jc,https://drive.google.com/file/d/1FnftwssvJBwXu9XNFnKnoKMj296a-w9r/view?usp=drive_link,2025-06-24T13:55:20.000Z
7,Client Onboarding System,I Built an AI System that Onboards Clients in 30 Seconds (Free n8n Template),"This system automates new client onboarding via a form-triggered workflow. It creates client folders in Google Drive, sets up project lists and tasks in ClickUp, and configures a dedicated Slack channel with personalized welcome messages. An AI agent parses proposal and scoping documents to extract actionable tasks with due dates. The integration leverages APIs for Google Drive, ClickUp, Slack, and Gmail. Creator: Nolan Harper.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=gXKzEt1ZG38,https://drive.google.com/file/d/1jGUC5vcD2W0cOhtIfDwLGdMtMw4OuROY/view?usp=drive_link,2025-06-21T17:07:33.000Z
8,AI Agent Team Builder,I Built an AI Agent that Builds Entire Teams of AI Agents in n8n (free template),"This workflow is a no-code system built by Nate Herk that uses an AI agent to generate complete JSON-based automation flows on demand. It integrates Slack triggers, Gmail, Calendar, and Google Sheets for logging, using Anthropic’s Claude Opus 4 for natural language processing and output generation. The system provides detailed configuration via sticky notes, API integration, and a step-by-step setup guide, making it ideal for rapidly deploying custom automations.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=Ik8OHT3w4pE,https://drive.google.com/file/d/1YidfszPBryjmb2nC1Eeig94X187bnYmq/view?usp=drive_link,2025-06-18T13:40:32.000Z
9,FB Ad Spy Tool,Build A Facebook Ad Spy Tool With N8N (Sell for $2k+),"This system is a fully automated Facebook Ads Scraper and Analyzer built on n8n by Nick Saraev. It uses Appify to scrape Facebook’s Ad Library and categorizes ads into video, image, and text types. The workflow integrates OpenAI’s GPT-4.5 for rewriting ad copy, Gemini API for video analysis, and stores data in Google Sheets. Intelligent filtering and dynamic routing ensure accurate ad analysis. A free template is provided via Gumroad.",Nick Saraev,https://www.youtube.com/watch?v=0PJNiDuihBg,https://drive.google.com/file/d/1whrqvO_wTk_NFhufCd3oqD0ZiSk9kaWI/view?usp=drive_link,2025-06-18T05:30:00.000Z
10,AI Video Analysis,The Simplest Setup for FREE AI Video Analysis (n8n + Google Gemini),"This video demonstrates a fully automated workflow that uses a no-code engine to perform video analysis via Google Gemini. The system supports both local file uploads and YouTube URLs, employing polling to monitor the status of the video processing. It covers technical details such as setting up Google API credentials, configuring HTTP requests with header parameters, handling binary video data, and prompting Gemini for detailed analysis (e.g., summarization, insight extraction). The template is provided free through Nate Herk's Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=acB2o6nwAn8,https://drive.google.com/file/d/1UYTwp5P0zyz-kpZrQ6vlVH36d-zkPZSM/view?usp=drive_link,2025-06-12T15:38:50.000Z
